name,sex,count,year
Avah,F,398,2014
Amia,F,397,2014
Amiya,F,397,2014
Zaniyah,F,397,2014
Madyson,F,395,2014
Cindy,F,394,2014
Kayden,F,394,2014
Everleigh,F,392,2014
Celine,F,391,2014
Eileen,F,391,2014
Teresa,F,391,2014
Aryana,F,390,2014
Reyna,F,390,2014
Isabela,F,389,2014
Simone,F,389,2014
Jolene,F,388,2014
Myah,F,388,2014
Marjorie,F,387,2014
Clare,F,386,2014
Dorothy,F,385,2014
Brenda,F,384,2014
Claudia,F,384,2014
Elin,F,384,2014
Emilie,F,384,2014
Leanna,F,384,2014
Noemi,F,384,2014
Tori,F,384,2014
Martha,F,383,2014
Sky,F,383,2014
Alia,F,382,2014
Corinne,F,382,2014
Ally,F,381,2014
Patricia,F,379,2014
Leona,F,378,2014
Lisa,F,378,2014
Margot,F,377,2014
Arely,F,376,2014
Emory,F,376,2014
Paityn,F,376,2014
Thalia,F,376,2014
Shayla,F,375,2014
Carolyn,F,374,2014
Jazlynn,F,374,2014
Meadow,F,374,2014
Averi,F,373,2014
Nataly,F,373,2014
Deborah,F,372,2014
Ivory,F,372,2014
Lizbeth,F,372,2014
Nancy,F,371,2014
Milana,F,370,2014
Farrah,F,369,2014
Khaleesi,F,369,2014
Milania,F,369,2014
Yareli,F,369,2014
Elliot,F,367,2014
Janessa,F,367,2014
Zoie,F,366,2014
Adele,F,365,2014
Emmalynn,F,365,2014
Clarissa,F,364,2014
Hailee,F,364,2014
Oakley,F,364,2014
Thea,F,364,2014
Halle,F,363,2014
Hunter,F,363,2014
Lina,F,363,2014
Sariah,F,363,2014
Brenna,F,362,2014
Galilea,F,362,2014
Naya,F,362,2014
Sutton,F,361,2014
Denise,F,359,2014
Giana,F,359,2014
Kristina,F,359,2014
Monroe,F,358,2014
Wendy,F,358,2014
Liv,F,357,2014
Nathaly,F,357,2014
Aubrielle,F,356,2014
Celia,F,356,2014
Danika,F,356,2014
Carter,F,355,2014
Jolie,F,355,2014
Miley,F,355,2014
Taliyah,F,355,2014
Jaylene,F,354,2014
Sandra,F,354,2014
Casey,F,353,2014
Dana,F,353,2014
Joyce,F,353,2014
Yamileth,F,353,2014
Milena,F,352,2014
Zariyah,F,352,2014
Saylor,F,351,2014
Ariadne,F,350,2014
Aviana,F,349,2014
Cherish,F,347,2014
Nola,F,347,2014
Alaya,F,346,2014
Asia,F,346,2014
Mollie,F,346,2014
Dixie,F,345,2014
Marisol,F,343,2014
Penny,F,343,2014
Rylan,F,343,2014
Esme,F,342,2014
